{MDACODE=550cd7f1-117b-41b2-9fd4-f4c911c3cea0, IDNum=742857887, IDType=0, FirstName=Britteny, LastName=Mollin, City=Wanliang, Street=Russell, BuildingNumber=71, Barcode=B75F7AF6-4E69-E994-38D4-B5CE5AB3DC18, GetDate=18.02.2021, TakeDate=13.03.2021, ResultDate=22/01/2021}
{MDACODE=50b4b370-64ff-45d4-a93a-ef0776ae199e, IDNum=876087819, IDType=2, FirstName=Randa, LastName=Aggs, City=Al Maşlūb, Street=Johnson, BuildingNumber=92, Barcode=5D864537-3D74-1E61-2B4D-357C3A471B4E, GetDate=03.11.2021, TakeDate=17.06.2021, ResultDate=31/01/2021}
{MDACODE=d7218f21-c7b9-403a-a387-7dbc8d5a75cb, IDNum=625590650, IDType=0, FirstName=Lurette, LastName=Shoreman, City=Stupari, Street=Lighthouse Bay, BuildingNumber=9, Barcode=BC6FF4D1-A958-30B5-7943-C116B5BD6685, GetDate=06.07.2021, TakeDate=27.11.2021, ResultDate=19/10/2021}
{MDACODE=c6ac29e1-c49e-4817-b116-243e2b1aeca9, IDNum=733225792, IDType=0, FirstName=Livvie, LastName=Egentan, City=Florida, Street=Lawn, BuildingNumber=74, Barcode=8BB8ADF8-835A-8D94-BB11-A6BA6DF44641, GetDate=23.12.2021, TakeDate=06.08.2021, ResultDate=18/08/2021}
{MDACODE=3277bbef-c809-4d10-b67c-034b805b65f8, IDNum=230767833, IDType=1, FirstName=Elberta, LastName=Morrice, City=Rudnyy, Street=North, BuildingNumber=49, Barcode=B84DEC48-1C45-27E2-C131-ABCE953E1398, GetDate=23.12.2021, TakeDate=21.01.2021, ResultDate=12/1/2022}
{MDACODE=4a3016d3-89a0-4202-b62d-4f59967ee932, IDNum=533034956, IDType=0, FirstName=Mada, LastName=Kwietek, City=Jiangtun, Street=Oak Valley, BuildingNumber=22, Barcode=D7436F41-C36A-C406-5433-9BED08968454, GetDate=01.07.2021, TakeDate=19.05.2021, ResultDate=21/06/2021}
{MDACODE=b7be39c2-12c3-4c7e-93b5-0fbaca3f1e6c, IDNum=796645326, IDType=2, FirstName=Kris, LastName=Gawthorpe, City=Jūrat ash Sham‘ah, Street=Petterle, BuildingNumber=14, Barcode=B7A3ABB4-0514-4A1A-D3C3-6ACA962C24EE, GetDate=04.06.2021, TakeDate=17.03.2021, ResultDate=1/2/2021}
{MDACODE=2be679c4-cdc1-4e94-ae48-4a7d1c79161d, IDNum=691808702, IDType=0, FirstName=Mathian, LastName=Gammon, City=Tambakmerak, Street=Hintze, BuildingNumber=94, Barcode=2E8AD734-430C-C5AB-CE29-1296DBF4A5F2, GetDate=17.08.2021, TakeDate=16.01.2021, ResultDate=27/08/2021}
{MDACODE=63966016-b4e7-4f5b-9be0-0c6a6ac26f87, IDNum=262923077, IDType=1, FirstName=Nicholas, LastName=Keymar, City=Washington, Street=Ramsey, BuildingNumber=38, Barcode=D8E8819A-A87C-2A37-E982-89A6233B69DE, GetDate=22.10.2021, TakeDate=16.12.2021, ResultDate=4/4/2021}
{MDACODE=dbc8c628-dbb5-4c6f-848b-f1788ea41f16, IDNum=501445255, IDType=1, FirstName=Chery, LastName=Fullom, City=Nouaseur, Street=Transport, BuildingNumber=29, Barcode=82494691-6C3B-F474-39B6-AA34E1EEA8AD, GetDate=07.06.2021, TakeDate=05.06.2021, ResultDate=17/02/2021}
{MDACODE=759c5b9a-3079-4f35-81f4-16f93fdef304, IDNum=580566662, IDType=1, FirstName=Pall, LastName=Crosier, City=Shums’k, Street=West, BuildingNumber=69, Barcode=8FA5C9B6-FBD8-1868-13AB-1D9768F4EE4F, GetDate=14.05.2021, TakeDate=09.03.2021, ResultDate=16/07/2021}
