{MDACODE=95cf04b0-d267-4da3-b30a-4b511b68be33, IDNum=816235596, IDType=1, FirstName=Had, LastName=Mannin, City=Drakino, Street=Swallow, BuildingNumber=51, Barcode=845E97D7-A566-C72F-84E4-24A34279C011, GetDate=24.09.2021, TakeDate=31.10.2021, ResultDate=4/12/2021}
{MDACODE=ebe92c56-9385-4aee-99df-681eccfb2475, IDNum=351141351, IDType=0, FirstName=Ruby, LastName=Daborne, City=Mont-de-Marsan, Street=La Follette, BuildingNumber=7, Barcode=2DD28A22-02A5-3D62-BDD3-17957D184033, GetDate=05.03.2021, TakeDate=18.07.2021, ResultDate=11/9/2021}
{MDACODE=7d004e47-c577-4f69-8c95-4358a1a0ece1, IDNum=689546557, IDType=2, FirstName=Mariann, LastName=Cutajar, City=Uubulan, Street=Stoughton, BuildingNumber=70, Barcode=96B941B1-B0DC-6257-E99A-273B70C2CCC6, GetDate=20.05.2021, TakeDate=21.10.2021, ResultDate=23/01/2021}
{MDACODE=97e2a9be-3dfb-4bc8-a9c4-cc1762fcf558, IDNum=127180993, IDType=0, FirstName=Ivie, LastName=Hudson, City=Taurija, Street=Bartillon, BuildingNumber=47, Barcode=A178C3B6-89AC-C496-0D5F-A59924D44EDD, GetDate=08.04.2021, TakeDate=24.05.2021, ResultDate=7/3/2021}
{MDACODE=e7fddf08-110a-49ae-99b1-c8bb81bd645d, IDNum=454954398, IDType=2, FirstName=Eli, LastName=Gellibrand, City=Taurija, Street=American Ash, BuildingNumber=28, Barcode=6C42B8D1-7162-9A59-6462-0EC848707725, GetDate=05.06.2021, TakeDate=05.09.2021, ResultDate=11/12/2021}
{MDACODE=bcd32ad3-00d7-4b0f-836e-98b4c27ce941, IDNum=135233854, IDType=1, FirstName=Deborah, LastName=Coppins, City=Ustupo, Street=Northland, BuildingNumber=88, Barcode=BDC06E2C-1DED-4842-172B-8C99919AE11E, GetDate=07.10.2021, TakeDate=18.02.2021, ResultDate=16/06/2021}
{MDACODE=09917754-2fd8-4d1b-bfb2-a1aaa51ff11d, IDNum=728633301, IDType=1, FirstName=Georgeanne, LastName=Greenham, City=Simrishamn, Street=Manley, BuildingNumber=21, Barcode=3B4843D8-6E54-AE68-1B36-4A481AD32658, GetDate=10.01.2022, TakeDate=05.01.2022, ResultDate=20/09/2021}
{MDACODE=e7a3d952-0c61-48fd-803a-0047d118ca5b, IDNum=482280454, IDType=2, FirstName=Lisle, LastName=Snawdon, City=Murree, Street=Thierer, BuildingNumber=40, Barcode=CEB44882-AC8C-1BCB-0E92-07730EF16C5B, GetDate=31.03.2021, TakeDate=20.07.2021, ResultDate=16/08/2021}
{MDACODE=bfd96039-ae17-4821-a536-2338d3f3e6d0, IDNum=784320375, IDType=2, FirstName=Jolie, LastName=Delhay, City=Akron, Street=Stang, BuildingNumber=91, Barcode=B1F2EC2B-A47D-6728-488B-413955391E6F, GetDate=28.12.2021, TakeDate=17.04.2021, ResultDate=10/3/2021}
{MDACODE=8251ca25-5a1d-4fc1-9785-89102ad3416f, IDNum=139936941, IDType=2, FirstName=Evangelia, LastName=Channon, City=Lang, Street=American, BuildingNumber=30, Barcode=279F6994-F5CF-9217-AAD0-8B3291D5B277, GetDate=29.03.2021, TakeDate=10.12.2021, ResultDate=1/3/2021}
{MDACODE=0f08272d-315a-4918-9f1b-b720ed6f0653, IDNum=659647541, IDType=1, FirstName=Una, LastName=Paul, City=Haicheng, Street=Surrey, BuildingNumber=60, Barcode=E48DEA3C-1343-594D-E6F4-C5A4B32BA23C, GetDate=08.12.2021, TakeDate=18.03.2021, ResultDate=11/8/2021}
{MDACODE=59851fc3-9554-48df-9387-8e896b522599, IDNum=578286550, IDType=0, FirstName=Davin, LastName=Greest, City=Bailu, Street=Sycamore, BuildingNumber=40, Barcode=CACAC59C-3BEE-F42B-FECC-8E2EA984FF6F, GetDate=15.06.2021, TakeDate=08.03.2021, ResultDate=26/08/2021}
